"date","close","volume","open","high","low"
"16:00","112.18","35,886,990","113.20","113.80","111.80"
"2016/09/29","112.1800","35850010.0000","113.1600","113.8000","111.8000"
"2016/09/28","113.9500","29608390.0000","113.6900","114.6400","113.4300"
"2016/09/27","113.0900","24587490.0000","113.0000","113.1800","112.3400"
"2016/09/26","112.8800","29800240.0000","111.6400","113.3900","111.5500"
"2016/09/23","112.7100","52411070.0000","114.4200","114.7900","111.5500"
"2016/09/22","114.6200","31048170.0000","114.3500","114.9400","114.0000"
"2016/09/21","113.5500","35951900.0000","113.8500","113.9890","112.4410"
"2016/09/20","113.5700","34494150.0000","113.0500","114.1200","112.5100"
"2016/09/19","113.5800","46937190.0000","115.1900","116.1800","113.2500"
"2016/09/16","114.9200","79763890.0000","115.1200","116.1300","114.0400"
"2016/09/15","115.5700","90398170.0000","113.8600","115.7300","113.4900"
"2016/09/14","111.7700","111186900.0000","108.7300","113.0300","108.6000"
"2016/09/13","107.9500","62080160.0000","107.5100","108.7900","107.2400"
"2016/09/12","105.4400","45114590.0000","102.6500","105.7200","102.5300"
"2016/09/09","103.1300","46461610.0000","104.6400","105.7200","103.1300"
"2016/09/08","105.5200","52955310.0000","107.2500","107.2700","105.2400"
"2016/09/07","108.3600","42250480.0000","107.8300","108.7600","107.0700"
"2016/09/06","107.7000","26645130.0000","107.9000","108.3000","107.5100"
"2016/09/02","107.7300","26393770.0000","107.7000","108.0000","106.8200"
"2016/09/01","106.7300","26675250.0000","106.1400","106.8000","105.6200"
"2016/08/31","106.1000","31639010.0000","105.6600","106.5699","105.6400"
"2016/08/30","106.0000","24817940.0000","105.8000","106.5000","105.5000"
"2016/08/29","106.8200","24900130.0000","106.6200","107.4400","106.2900"
"2016/08/26","106.9400","27744300.0000","107.4100","107.9500","106.3100"
"2016/08/25","107.5700","25001730.0000","107.3900","107.8800","106.6800"
"2016/08/24","108.0300","23606240.0000","108.5650","108.7500","107.6800"
"2016/08/23","108.8500","21236850.0000","108.5900","109.3200","108.5300"
"2016/08/22","108.5100","25784420.0000","108.8600","109.1000","107.8500"
"2016/08/19","109.3600","25108890.0000","108.7700","109.6900","108.3600"
"2016/08/18","109.0800","21918340.0000","109.2300","109.6000","109.0200"
"2016/08/17","109.2200","25328680.0000","109.1000","109.3700","108.3400"
"2016/08/16","109.3800","33754680.0000","109.6300","110.2300","109.2100"
"2016/08/15","109.4800","25704330.0000","108.1400","109.5400","108.0800"
"2016/08/12","108.1800","18648700.0000","107.7800","108.4400","107.7800"
"2016/08/11","107.9300","27460070.0000","108.5200","108.9300","107.8500"
"2016/08/10","108.0000","23839880.0000","108.7100","108.9000","107.7600"
"2016/08/09","108.8100","26296260.0000","108.2300","108.9400","108.0100"
"2016/08/08","108.3700","28010430.0000","107.5200","108.3700","107.1600"
"2016/08/05","107.4800","39546610.0000","106.2700","107.6500","106.1800"
"2016/08/04","105.8700","26781730.0000","105.5800","106.0000","105.2800"
"2016/08/03","105.7900","30148360.0000","104.8100","105.8400","104.7700"
"2016/08/02","104.4800","33770220.0000","106.0500","106.0700","104.0000"
"2016/08/01","106.0500","38018910.0000","104.4100","106.1500","104.4100"
"2016/07/29","104.2100","27697970.0000","104.1900","104.5500","103.6800"
"2016/07/28","104.3400","38771840.0000","102.8300","104.4500","102.8200"
"2016/07/27","102.9500","92143920.0000","104.2650","104.3500","102.7500"
"2016/07/26","96.6700","53454620.0000","96.8200","97.9700","96.4200"
"2016/07/25","97.3400","40290580.0000","98.2500","98.8400","96.9200"
"2016/07/22","98.6600","28218240.0000","99.2600","99.3000","98.3100"
"2016/07/21","99.4300","32690080.0000","99.8300","101.0000","99.1300"
"2016/07/20","99.9600","26219110.0000","100.0000","100.4600","99.7350"
"2016/07/19","99.8700","23766360.0000","99.5600","100.0000","99.3400"
"2016/07/18","99.8300","36464530.0000","98.7000","100.1300","98.6000"
"2016/07/15","98.7800","30031410.0000","98.9200","99.3000","98.5000"
"2016/07/14","98.7900","38885980.0000","97.3900","98.9900","97.3200"
"2016/07/13","96.8700","25879680.0000","97.4100","97.6700","96.8400"
"2016/07/12","97.4200","24129530.0000","97.1700","97.7000","97.1200"
"2016/07/11","96.9800","23317990.0000","96.7500","97.6500","96.7300"
"2016/07/08","96.6800","28877500.0000","96.4900","96.8900","96.0500"
"2016/07/07","95.9400","24460850.0000","95.7000","96.5000","95.6200"
"2016/07/06","95.5300","30877540.0000","94.6000","95.6600","94.3700"
"2016/07/05","94.9900","27553750.0000","95.3900","95.4000","94.4600"
"2016/07/01","95.8900","25982080.0000","95.4900","96.4650","95.3300"
"2016/06/30","95.6000","35783320.0000","94.4400","95.7700","94.3000"
"2016/06/29","94.4000","36505420.0000","93.9700","94.5500","93.6300"
"2016/06/28","93.5900","40387960.0000","92.9000","93.6600","92.1400"
"2016/06/27","92.0400","45595680.0000","93.0000","93.0500","91.5000"
"2016/06/24","93.4000","75219710.0000","92.9100","94.6550","92.6500"
"2016/06/23","96.1000","32042290.0000","95.9400","96.2900","95.2500"
"2016/06/22","95.5500","29124140.0000","96.2500","96.8900","95.3500"
"2016/06/21","95.9100","35407050.0000","94.9400","96.3500","94.6760"
"2016/06/20","95.1000","34355970.0000","96.0000","96.5700","95.0300"
"2016/06/17","95.3300","60793260.0000","96.6200","96.6500","95.3000"
